have	1315648 -> had,has,'ve,having,'s,'d,d,ve
hyp	71 -> hyped,hyping
★hyperglycaemia	71 -> hyperglycaemias
★hypnotist	71 -> hypnotists
impersonate	71 -> impersonating,impersonates,impersonated
inactivate	71 -> inactivated,inactivating,inactivates
incinerate	71 -> incinerated,incinerating,incinerates
★infidel	71 -> infidels
★interpolation	71 -> interpolations
irk	71 -> irked,irks,irking
★islet	71 -> islets
★king-duke	71 -> king-dukes
kneecap	71 -> kneecaps,kneecapping,kneecapped
★lioness	71 -> lionesses
★mates	71 -> matess
★menshevik	71 -> mensheviks
★mesa	71 -> mesas
★metropole	71 -> metropoles
★mic	71 -> mics
★mil	71 -> mils
★mineralogy	71 -> mineralogies
★misogyny	71 -> misogynies
★mock-up	71 -> mock-ups
★mortgagor	71 -> mortgagors
mortise	71 -> mortises,mortised,mortising
★myopic	71 -> myopics
★nearside	71 -> nearsides
★non-white	71 -> non-whites
★nox	71 -> noxes
★nullity	71 -> nullities
★overkill	71 -> overkills
★pawnbroker	71 -> pawnbrokers
percolate	71 -> percolated,percolating,percolates
★peroxidase	71 -> peroxidases
★pimlico	71 -> pimlicoes
pin-point	71 -> pin-pointed,pin-points,pin-pointing
pinstripe	71 -> pinstripes,pinstriped
★plec	71 -> plecs
★pre-set	71 -> pre-sets
puke	71 -> puking,puked,pukes
pummel	71 -> pummelled,pummelling,pummels
★receptacle	71 -> receptacles
★reclining	71 -> reclinings
revolutionize	71 -> revolutionized,revolutionizing,revolutionizes
★rheims	71 -> rheimss
★rhineland	71 -> rhinelands
★ric	71 -> rics
rime	71 -> rimed,rimes,riming
★rivulet	71 -> rivulets
★rower	71 -> rowers
★rudi	71 -> rudis
★shogun	71 -> shoguns
★signer	71 -> signers
★silesia	71 -> silesias
★southwestern	71 -> southwesterns
splint	71 -> splints,splinted,splinting
★spying	71 -> spyings
★stepping-stone	71 -> stepping-stones
★telethon	71 -> telethons
★thank-you	71 -> thank-yous
theorize	71 -> theorizing,theorized,theorizes
titillate	71 -> titillating,titillated,titillates
titter	71 -> tittered,titters,tittering
★titus	71 -> tituss
★usurper	71 -> usurpers
★weiss	71 -> weisses
★well-wisher	71 -> well-wishers
★wilcock	71 -> wilcocks
★with-profit	71 -> with-profits
★agrochemical	70 -> agrochemicals
★ajax	70 -> ajaxes
★alaskan	70 -> alaskans
★anaesthetist	70 -> anaesthetists
★autobahn	70 -> autobahns
★bather	70 -> bathers
★beddow	70 -> beddows
begrudge	70 -> begrudged,begrudges,begrudging
★biogeography	70 -> biogeographies
★boa	70 -> boas
boggle	70 -> boggles,boggling,boggled
★bongo	70 -> bongos
★bronte	70 -> brontes
★caledonia	70 -> caledonias
★changer	70 -> changers
★cicero	70 -> ciceroes
★cockcroft	70 -> cockcrofts
★condon	70 -> condoning
★conflagration	70 -> conflagrations
★contig	70 -> contigs
★cordillera	70 -> cordilleras
corral	70 -> corralled,corrals,corralling
★corsair	70 -> corsairs
★cote	70 -> cotes
★dimer	70 -> dimers
dormer	70 -> dormers,dormered
★enalapril	70 -> enalaprils
★etna	70 -> etnas
★explicitness	70 -> explicitnesses
flamenco	70 -> flamencoing,flamencos
★fucker	70 -> fuckers
★futurist	70 -> futurists
★gendarme	70 -> gendarmes
★good-night	70 -> good-nights
haw	70 -> haws,hawed,hawing
★hawthorne	70 -> hawthornes
holler	70 -> hollered,hollering,hollers
★hologram	70 -> holograms
★invective	70 -> invectives
knoll	70 -> knolls,knolled
★kursk	70 -> kursks
★lena	70 -> lenas
★leprosy	70 -> leprosies
liberalize	70 -> liberalizing,liberalized,liberalizes
★lump-sum	70 -> lump-sums
★luna	70 -> lunas
★mandamus	70 -> mandamuss
★mbo	70 -> mbos
★meanness	70 -> meannesses
★medina	70 -> medinas
★mid-may	70 -> mid-mays
★midshipman	70 -> midshipmen
★ming	70 -> mings
mislay	70 -> mislaid,mislaying,mislays
mollify	70 -> mollified,mollifying,mollifies
★montage	70 -> montages
★morass	70 -> morasses
★mosaicist	70 -> mosaicists
★mossad	70 -> mossads
★nauru	70 -> naurus
★navratilova	70 -> navratilovas
★newsreader	70 -> newsreaders
★nike	70 -> nikes
★offing	70 -> offings
★offstage	70 -> offstages
★pasha	70 -> pashas
★paton	70 -> patons
★peristalsis	70 -> peristalses
★perjury	70 -> perjuries
pincers	70 -> pincer,pincers
plucky	70 -> pluckiest,pluckier
★postbag	70 -> postbags
★progenitor	70 -> progenitors
★psycholinguistic	70 -> psycholinguistics
★publicist	70 -> publicists
★pyongyang	70 -> pyongyangs
queasy	70 -> queasier,queasiest
★rabat	70 -> rabats
★raiser	70 -> raisers
re-create	70 -> re-creates,re-creating,recreated,re-created
re-introduce	70 -> re-introduced,re-introducing,re-introduces
★refractory	70 -> refractories
★retraction	70 -> retractions
salve	70 -> salved,salves,salving
★sameness	70 -> samenesses
scavenge	70 -> scavenged,scavenges,scavenging
★servitude	70 -> servitudes
★shuddering	70 -> shudderings
★sleight	70 -> sleights
★slovenian	70 -> slovenians
spoof	70 -> spoofs,spoofing,spoofed
★starlight	70 -> starlights
subjugate	70 -> subjugated,subjugating,subjugates
★superposition	70 -> superpositions
swat	70 -> swatting,swatted,swats
★tagset	70 -> tagsets
★thebes	70 -> thebess
★threepence	70 -> threepences
★tonality	70 -> tonalities
trachea	70 -> tracheas,tracheae
★ultrasonography	70 -> ultrasonographies
uss	70 -> ussing,ussed
victimize	70 -> victimized,victimizing,victimizes
★wailing	70 -> wailings
★wizardry	70 -> wizardries
★absorbent	69 -> absorbents
★atm	69 -> atms
★attica	69 -> atticas
★b&b	69 -> b&bs
★balinese	69 -> balineses
★bane	69 -> banes
brainwash	69 -> brainwashed,brainwashing,brainwashes
★caecum	69 -> caecums
★cavell	69 -> cavells
★caviar	69 -> caviars
★chelonian	69 -> chelonians
★contrivance	69 -> contrivances
★copier	69 -> copiers
★coptic	69 -> coptics
★cummings	69 -> cummingss
★cursive	69 -> cursives
★daver	69 -> davers
deign	69 -> deigned,deigns,deigning
★deportee	69 -> deportees
★depravity	69 -> depravities
★dfc	69 -> dfcs
★divestment	69 -> divestments
dumpy	69 -> dumpier,dumpiest
★eleven-year-old	69 -> eleven-year-olds
energise	69 -> energised,energising,energises
★epinephrine	69 -> epinephrines
★fenland	69 -> fenlands
★fiancee	69 -> fiancees
★follicle	69 -> follicles
★forbearance	69 -> forbearances
★foundationalism	69 -> foundationalisms
★fuzz	69 -> fuzzs
★girl-friend	69 -> girl-friends
★halley	69 -> halleys
★hann	69 -> hanns
★headband	69 -> headbands
★hickey	69 -> hickeys
★hideaway	69 -> hideaways
★holm	69 -> holms
★immaturity	69 -> immaturities
★impressionism	69 -> impressionisms
★iota	69 -> iotas
★jonson	69 -> jonsons
★jotting	69 -> jottings
★kell	69 -> kelling
★liberator	69 -> liberators
lithograph	69 -> lithographs,lithographed
★managua	69 -> managuas
★mathew	69 -> mathews
★meade	69 -> meades
★mid-victorian	69 -> mid-victorians
★midriff	69 -> midriffs
misdirect	69 -> misdirected,misdirecting,misdirects
misfit	69 -> misfits,misfitting
★moped	69 -> mopeds
★musa	69 -> musas
★naturalness	69 -> naturalnesses
★non-word	69 -> non-words
★obelisk	69 -> obelisks
opine	69 -> opined,opines,opining
outlast	69 -> outlasted,outlasts,outlasting
★partiality	69 -> partialities
★paye	69 -> payes
★phenomenology	69 -> phenomenologies
★plier	69 -> pliers
★populism	69 -> populisms
prioritize	69 -> prioritizing,prioritized,prioritizes
★prospectuse	69 -> prospectuses
★quart	69 -> quarts
★racetrack	69 -> racetracks
raze	69 -> razed,razing,razes
★re-creation	69 -> re-creations
★rectitude	69 -> rectitudes
★regulationist	69 -> regulationists
reprove	69 -> reproved,reproving,reproves
★republicanism	69 -> republicanisms
repurchase	69 -> repurchases,repurchased,repurchasing
★roc	69 -> rocs
sandpaper	69 -> sandpapered,sandpapering,sandpapers
scarp	69 -> scarps,scarped
★schlesinger	69 -> schlesingers
★scrapbook	69 -> scrapbooks
★second-year	69 -> second-years
★self-deception	69 -> self-deceptions
★sellers	69 -> sellerss
★semitone	69 -> semitones
★sherpa	69 -> sherpas
★short-cut	69 -> short-cuts
★slippage	69 -> slippages
slob	69 -> slobs,slobbed,slobbing
snog	69 -> snogging,snogged,snogs
spank	69 -> spanking,spanked,spanks
★spotter	69 -> spotters
★stethoscope	69 -> stethoscopes
★stipendiary	69 -> stipendiaries
★subterfuge	69 -> subterfuges
★surfing	69 -> surfings
★symons	69 -> symonss
★trapdoor	69 -> trapdoors
★turnstile	69 -> turnstiles
★vert	69 -> verts
★vidal	69 -> vidals
★virility	69 -> virilities
★winder	69 -> winders
★workaholic	69 -> workaholics
★workhorse	69 -> workhorses
★abram	68 -> abrams
★admonition	68 -> admonitions
apparel	68 -> apparelled,apparels
★asp	68 -> asps
★babel	68 -> babels
★baize	68 -> baizes
★balboa	68 -> balboas
★bam	68 -> bams
★blending	68 -> blendings
★bluebird	68 -> bluebirds
blurb	68 -> blurbs,blurbed,blurbing
★bogart	68 -> bogarts
★carpentry	68 -> carpentries
★cashflow	68 -> cashflows
catarrh	68 -> catarrhs,catarrhed
★cherbourg	68 -> cherbourgs
★coda	68 -> codas
★colbert	68 -> colberts
★conglomeration	68 -> conglomerations
★cottager	68 -> cottagers
★courting	68 -> courtings
★credo	68 -> credos
★cuvier	68 -> cuviers
★d-mark	68 -> d-marks
★dene	68 -> denes
★derogation	68 -> derogations
★discipleship	68 -> discipleships
★disservice	68 -> disservices
★erasure	68 -> erasures
★eurocurrency	68 -> eurocurrencies
★ex-serviceman	68 -> ex-servicemen
★featherweight	68 -> featherweights
fitch	68 -> fitched,fitches
★five-minute	68 -> five-minutes
fledge	68 -> fledged,fledging,fledges
★flyweight	68 -> flyweights
★fowle	68 -> fowles
★foxglove	68 -> foxgloves
★gothenburg	68 -> gothenburgs
★hatchet	68 -> hatchets
★iberian	68 -> iberians
★impoverishment	68 -> impoverishments
★inky	68 -> inkies
jen	68 -> jenner,jens
★jerkin	68 -> jerkins
★jowl	68 -> jowls
★judging	68 -> judgings
★junkers	68 -> junkerss
★kinetics	68 -> kineticss
★kissinger	68 -> kissingers
★lazuli	68 -> lazulis
★lordly	68 -> lordliest
luff	68 -> luffing,luffed,luffs
lusty	68 -> lustier,lustiest
★machismo	68 -> machismoes
★mahdi	68 -> mahdis
★market-maker	68 -> market-makers
★materiality	68 -> materialities
★morgue	68 -> morgues
★motivator	68 -> motivators
★murine	68 -> murines
★oldy	68 -> oldies
★orcadian	68 -> orcadians
★osprey	68 -> ospreys
★outgrowth	68 -> outgrowths
★pager	68 -> pagers
★pepys	68 -> pepyss
★petrograd	68 -> petrograds
ponce	68 -> ponces,poncing,ponceing,ponced
★pre-emption	68 -> pre-emptions
★procter	68 -> procters
★randomisation	68 -> randomisations
recommence	68 -> recommenced,recommences,recommencing
★rediscovery	68 -> rediscoveries
redouble	68 -> redoubled,redoubling,redoubles
reload	68 -> reloaded,reloading,reloads
★repulsion	68 -> repulsions
resit	68 -> resits,resiting,resitting,resited
★rubinstein	68 -> rubinsteins
savory	68 -> savories,savorys
★schumpeter	68 -> schumpeters
★scrambling	68 -> scramblings
★self-denial	68 -> self-denials
★shandy	68 -> shandies
sheathe	68 -> sheathed,sheathes,sheathing
★shitty	68 -> shittiest
★shiva	68 -> shivas
★snarling	68 -> snarlings
snoop	68 -> snooping,snooped,snoops
★springer	68 -> springers
★sputum	68 -> sputums
★straitjacket	68 -> straitjackets
★stratford-upon-avon	68 -> stratfords-upon-avon
superordinate	68 -> superordinates,superordinating,superordinated
★tallboy	68 -> tallboys
★tanzanian	68 -> tanzanians
teeny	68 -> teeniest,teenies,teenier
★terrine	68 -> terrines
★tingling	68 -> tinglings
★toxoplasmosis	68 -> toxoplasmoses
★trapper	68 -> trappers
★trickster	68 -> tricksters
★trinket	68 -> trinkets
★tumbleweed	68 -> tumbleweeds
★tutelage	68 -> tutelages
★typesetter	68 -> typesetters
★valdez	68 -> valdezs
★vermont	68 -> vermonts
vertex	68 -> vertices,vertexes
★vis-a-vis	68 -> viss-a-viss
★watchmaker	68 -> watchmakers
★weirdo	68 -> weirdos
★wherefore	68 -> wherefores
★wildness	68 -> wildnesses
★actualization	67 -> actualizations
★alkalinity	67 -> alkalinities
★anchovy	67 -> anchovies
★anglo-catholic	67 -> anglo-catholics
★apoptosis	67 -> apoptoses
aquatint	67 -> aquatints,aquatinting,aquatinted
★aspen	67 -> aspens
★backache	67 -> backaches
★biosphere	67 -> biospheres
★birdsong	67 -> birdsongs
★bolus	67 -> boluss
★borstal	67 -> borstals
★burundi	67 -> burundis
buss	67 -> bussed,bussing,busses,buss
★cagney	67 -> cagneys
★carb	67 -> carbs
ceilidh	67 -> ceilidhs,ceilidhing
★charterhouse	67 -> charterhouses
★chutney	67 -> chutneys
★clod	67 -> clods
★codling	67 -> codlings
computerise	67 -> computerised,computerising,computerises
★consummation	67 -> consummations
★corsican	67 -> corsicans
★crotchet	67 -> crotchets
curtsy	67 -> curtsied,curtsies,curtsying
★cymbal	67 -> cymbals
★denture	67 -> dentures
disburse	67 -> disbursed,disbursing,disburses
disinfect	67 -> disinfected,disinfecting,disinfects
★doddle	67 -> doddles
★drifter	67 -> drifters
★dustman	67 -> dustmen
exult	67 -> exulted,exulting,exults
ferrete	67 -> ferreting,ferreted
★gastroscopy	67 -> gastroscopies
★gasworks	67 -> gasworkss
★gelatine	67 -> gelatines
★general-purpose	67 -> general-purposes
★geochemistry	67 -> geochemistries
★gibbet	67 -> gibbets
★globule	67 -> globules
grizzly	67 -> grizzlies,grizzliest,grizzlier
★hades	67 -> hadess
★herdsman	67 -> herdsmen
★hubby	67 -> hubbies
★hypermarket	67 -> hypermarkets
hypnotize	67 -> hypnotized,hypnotizing,hypnotizes
★idaho	67 -> idahoes
★inequity	67 -> inequities
★installer	67 -> installers
★instonian	67 -> instonians
★interrogator	67 -> interrogators
★jespersen	67 -> jespersens
★jobcentre	67 -> jobcentres
★kraal	67 -> kraals
★laparotomy	67 -> laparotomies
★lazarus	67 -> lazaruss
★left-over	67 -> left-overs
★lessing	67 -> lessings
★leucine	67 -> leucines
★lightheart	67 -> lighthearted
★limo	67 -> limos
★localisation	67 -> localisations
★lully	67 -> lullies
★maldives	67 -> maldivess
★malinowski	67 -> malinowskis
★manchu	67 -> manchus
★marquetry	67 -> marquetries
★merrick	67 -> merricks
★millionth	67 -> millionths
★monetarism	67 -> monetarisms
★mozambican	67 -> mozambicans
★mushy	67 -> mushies
★nemesis	67 -> nemeses
★non-alcoholic	67 -> non-alcoholics
★paganism	67 -> paganisms
★peripatetic	67 -> peripatetics
★pflp	67 -> pflps
★phoenician	67 -> phoenicians
pithy	67 -> pithiest,pithier
★prolongation	67 -> prolongations
★psychogeriatric	67 -> psychogeriatrics
reapply	67 -> reapplied,reapplying,reapplies
★reflexive	67 -> reflexives
reinvent	67 -> reinvented,reinventing,reinvents
★renegotiation	67 -> renegotiations
★rightist	67 -> rightists
★rubric	67 -> rubrics
sanctify	67 -> sanctified,sanctifying,sanctifies
★scarecrow	67 -> scarecrows
★shoestring	67 -> shoestrings
skimp	67 -> skimped,skimping,skimps
sledgehammer	67 -> sledgehammers,sledgehammering,sledge-hammers
★someday	67 -> somedays
stoat	67 -> stoats,stoated
★stockman	67 -> stockmen
★sub-unit	67 -> sub-units
★subscript	67 -> subscripts
sunbathe	67 -> sunbathed,sunbathes,sunbathing
swot	67 -> swotting,swots,swotted
★synthesiser	67 -> synthesisers
tabulate	67 -> tabulated,tabulates,tabulating
★thinness	67 -> thinnesses
★torsion	67 -> torsions
★totalitarianism	67 -> totalitarianisms
★toulon	67 -> toulons
★trotskyist	67 -> trotskyists
★udder	67 -> udders
★washroom	67 -> washrooms
★whirling	67 -> whirlings
★wind-up	67 -> wind-ups
★withers	67 -> witherss
★workflow	67 -> workflows
★zanzibar	67 -> zanzibars
★absolution	66 -> absolutions
★adornment	66 -> adornments
★affectation	66 -> affectations
★anti-climax	66 -> anti-climaxes
★aperitif	66 -> aperitifs
★aplysia	66 -> aplysias
★aquinas	66 -> aquinass
★arcadia	66 -> arcadias
★artificiality	66 -> artificialities
★ballvalve	66 -> ballvalves
★banff	66 -> banffs
★beauvoir	66 -> beauvoirs
★bedlam	66 -> bedlams
★bergen	66 -> bergens
★bicentenary	66 -> bicentenaries
★bio	66 -> bios
bitmap	66 -> bitmaps,bitmapped
★blackthorn	66 -> blackthorns
★bogeyman	66 -> bogeymen
★brecht	66 -> brechts
★buller	66 -> bullers
★bunce	66 -> bunces
chirp	66 -> chirped,chirping,chirps
★clary	66 -> claries
clerestory	66 -> clerestories,clerestoried
★collectable	66 -> collectables
★confetti	66 -> confettis
congeal	66 -> congealed,congealing,congeals
★constructivist	66 -> constructivists
copulate	66 -> copulating,copulated,copulates
cosset	66 -> cosseted,cosseting,cossetting,cossetted,cossets
★coughing	66 -> coughings
creepy	66 -> creepier,creepiest
★deadweight	66 -> deadweights
derail	66 -> derailed,derailing,derails
★dieting	66 -> dietings
disavow	66 -> disavowed,disavowing,disavows
★ditty	66 -> ditties
★eiffel	66 -> eiffels
★elegy	66 -> elegies
★escapism	66 -> escapisms
★ex-soldier	66 -> ex-soldiers
★exchanger	66 -> exchangers
★expressionism	66 -> expressionisms
★five-a-side	66 -> five-a-sides
★flyover	66 -> flyovers
★footplate	66 -> footplates
★forgetfulness	66 -> forgetfulnesses
★forint	66 -> forints
★gaddafi	66 -> gaddafis
★gregorian	66 -> gregorians
grovel	66 -> grovelling,grovelled,grovels
★guttural	66 -> gutturals
★gypsum	66 -> gypsums
halfpenny	66 -> halfpennies,halfpennys,halfpence
★hazell	66 -> hazells
★herrick	66 -> herricks
★homme	66 -> hommes
★houseplant	66 -> houseplants
★incarceration	66 -> incarcerations
★insurgency	66 -> insurgencies
★intelligibility	66 -> intelligibilities
interrelate	66 -> interrelated,interrelating,interrelates
★interstate	66 -> interstates
★ironmonger	66 -> ironmongers
irradiate	66 -> irradiated,irradiating,irradiates
★knobbly	66 -> knobblier
★kosher	66 -> koshered
leapfrog	66 -> leapfrogging,leapfrogged,leapfrogs
★lysozyme	66 -> lysozymes
